발화자,대사
나(유치원생),"…"
대학원생,"엇 꼬마야, 혹시 길을 잃었니?"
나(유치원생),"(경계)"
대학원생,"아냐 아냐, 나는 나쁜 토끼가 아니야, 나는 선량한 대학원생 토끼란다."
나(유치원생),"엄마랑 같이 탔는데 엄마를 잃어버렸어요 ㅠㅠ"
대학원생,"이런, 어머니의 핸드폰 번호는 알고 있니?"
나(유치원생),"네!"
대학원생,"좋아,그럼 이제 엄마를 찾는 방법을 알려주마!"
나(유치원생),"으응? 왜요?"
대학원생,"원래 당근을 받기보다는 당근을 재배하는 방법을 배우는 게 더 유익하단다. 하하하."
나(유치원생),"(강하게 키우는 타입이군!)"
대학원생,"지하철은 많이 타봤니?"
나(유치원생),"아뇨! 오늘 처음 타봐요!"
대학원생,"이런, 유감이구나, 그럼 지하철에 대해 짧은 강의를 해주마, 자 잘 들으렴."
대학원생,"우선 너 자신을 알아야겠지? 위를 보면 두 개의 바가 보일거야."
대학원생,"왼쪽에 있는 건 “체력바”이고 오른쪽에 있는 건 “인성바”란다."
대학원생,"네가 다른 토끼들과 많이 부딪히거나 공격을 당하면 체력이 줄어들 거고"
대학원생,"반대로 네가 남을 공격하거나 곤경에 빠진 토끼를 무시하고 지나치면 인성이 줄어들 거란다."
대학원생,"공격은 어떻게 하냐고? 오른쪽 아래의 버튼을 누르면 총총 펀치를 할 수 있단다."
대학원생,"하지만 과한 폭력 과시로 인해 너의 인성이 너무 나빠지면 정의의 심판을 받을 수도 있으니 조심하렴."
대학원생,"그리고 너무 당연한 말이지만 지하철에는 다양한 토끼들이 있단다."
대학원생,"개 중에는 착한 토끼들도 있고 나쁜 토끼들도 있지."
대학원생,"자, 저길 보면 다른 토끼들에게 해를 안 끼치는 일반 토끼들이 있는데"
대학원생,"그들은 그저 이 좁은 공간에서 이리 치이고 저리 치이며 목적지로 이동 할 뿐이란다."
대학원생,"너에게 큰 해는 입히지 않을 거야, 다만 너무 많이 부딪히면 네가 힘들겠지?"
대학원생,"어떤 토끼들은 네가 그들을 도와주면 너에게 선물을 줄거야."
대학원생,"누가 착한 토끼인지는 딱 보면 알아차릴 수 있을 거란다. 한번 말을 걸어보렴!"
대학원생,"그리고 이젠 네가 피해야할 나쁜 토끼들이 있어."
대학원생,"음... 네가 이런 토끼들을 마주치지 않았으면 좋겠지만 어쩔 수 없이 마주칠 거란다."
대학원생,"그들에게는 웬만해선 말이 통하지 않을 거야."
대학원생,"다른 토끼들이 원치 않는 것들을 강요하는 토끼들이 나쁜 토끼들인데"
대학원생,"그럴 때는 총총 펀치를 맘껏 날려보렴. 후후후..."
나(유치원생),"네?"
대학원생,"아 물론 폭력은 나쁜 것이지만… 가끔은… 악을 제지하기 위해선…"
대학원생,"너의 성격이 좀 나빠지긴 하겠지만… 네가 잘 판단을 내리길 바란다!"
나(유치원생),"으으음..."
대학원생,"본론으로 돌아가서 어머니를 찾을 방법을 알려줄게!"
대학원생,"우선 착하게 생긴 토끼한테 가서 핸드폰을 빌려서 어머니께 전화를 하렴!"
대학원생,"여기는10-4로 맨 끝 칸이니까 네가 계속 앞으로 가면 어머니를 만날 수 있을 거야."
대학원생,"어머니께는 끝 칸을 향해 오시라고 하렴. 그럼 중간쯤에서 어머니를 만날 수 있어!"
대학원생,"아! 그리고 지하철 노선도를 한 장 줄게."
대학원생,"위의 아이콘을 누르면 노선도를 볼 수 있단다. 잘쓰렴!"
대학원생,"내가 낙서를 좀 해놨을 수도 있는데 보는데 큰 문제는 없을거야."
대학원생,"나는 여기서 지켜볼테니까 한 번 착하게 생긴 토끼를...어...잠시..."
효과음,(벨소리 뚤룰룰룰루루루)
대학원생,"앗… 예 교수님! 네 지금 가는 중입니다! 예? 어디시라구요? 네네 바로 가겠습니다!"
효과음,(뚝)
대학원생,"꼬마야 미안하지만 나는 급하게 가봐야 하는 곳이 생겼어."
대학원생,"지하철에는 나쁜 토끼들도 많지만 착한 토끼들도 많단다."
대학원생,"어머니를 꼭 찾길 바래!"
효과음,(스르륵하고 순간 이동하는 원생토끼)
나(유치원생),"튜토리얼 없이 바로 실전인가.. 인생은 실전이군!"